order,type,source,duration,notes
01,gameplay,Downloads/ORGANISM videos/zach-dan-ryan-play.mp4,3 seconds,Music: Kickstarter jhokolabaluptalinstograrain; gameplay 00:04–00:07
02,main,incoming/01.mp4,03:24.357,20260910_230423.mp4; first recorded clip
03,gameplay,Downloads/ORGANISM videos/zach-dan-ryan-play.mp4,3 seconds,Music: Kickstarter jhokolabaluptalinstograrain; gameplay 00:18–00:21
04,main,incoming/02.mp4,04:01.810,20260910_230751.mp4
05,gameplay,Downloads/ORGANISM videos/zach-dan-ryan-play.mp4,3 seconds,Music: Kickstarter jhokolabaluptalinstograrain; gameplay 00:32–00:35
06,main,incoming/03.mp4,04:47.370,20260910_231156.mp4
07,gameplay,Downloads/ORGANISM videos/zach-dan-ryan-play.mp4,3 seconds,Music: Kickstarter jhokolabaluptalinstograrain; gameplay 00:46–00:49
08,main,incoming/04.mp4,06:07.986,20260910_231646.mp4
09,gameplay,Downloads/ORGANISM videos/zach-dan-ryan-play.mp4,3 seconds,Music: Kickstarter jhokolabaluptalinstograrain; gameplay 01:00–01:03
10,main,incoming/05.mp4,15:29.543,20260910_232256.mp4; final recorded clip
11,gameplay,Downloads/ORGANISM videos/zach-dan-ryan-play.mp4,3 seconds,Music: Kickstarter jhokolabaluptalinstograrain; gameplay 01:14–01:17
